eTrappedCharge(C1(n70510_0s_des)) X,eTrappedCharge(C1(n70510_0s_des)) Y,eTrappedCharge(C1(n70510_1e-1s_des)) X,eTrappedCharge(C1(n70510_1e-1s_des)) Y,eTrappedCharge(C1(n70510_1e-2s_des)) X,eTrappedCharge(C1(n70510_1e-2s_des)) Y,eTrappedCharge(C1(n70510_1e-3s_des)) X,eTrappedCharge(C1(n70510_1e-3s_des)) Y,eTrappedCharge(C1(n70510_1e-4s_des)) X,eTrappedCharge(C1(n70510_1e-4s_des)) Y,eTrappedCharge(C1(n70510_1e-5s_des)) X,eTrappedCharge(C1(n70510_1e-5s_des)) Y,eTrappedCharge(C1(n70510_1e-6s_des)) X,eTrappedCharge(C1(n70510_1e-6s_des)) Y,eTrappedCharge(C1(n70510_1e-7s_des)) X,eTrappedCharge(C1(n70510_1e-7s_des)) Y,eTrappedCharge(C1(n70510_1e-8s_des)) X,eTrappedCharge(C1(n70510_1e-8s_des)) Y,eTrappedCharge(C1(n70510_1s_des)) X,eTrappedCharge(C1(n70510_1s_des)) Y,eTrappedCharge(C1(n70510_2e-1s_des)) X,eTrappedCharge(C1(n70510_2e-1s_des)) Y,eTrappedCharge(C1(n70510_2s_des)) X,eTrappedCharge(C1(n70510_2s_des)) Y,eTrappedCharge(C1(n70510_4s_des)) X,eTrappedCharge(C1(n70510_4s_des)) Y,eTrappedCharge(C1(n70510_5e-1s_des)) X,eTrappedCharge(C1(n70510_5e-1s_des)) Y,eTrappedCharge(C1(n70510_8s_des)) X,eTrappedCharge(C1(n70510_8s_des)) Y,eTrappedCharge(C1(n70510_16s_des)) X,eTrappedCharge(C1(n70510_16s_des)) Y,eTrappedCharge(C1(n70510_32s_des)) X,eTrappedCharge(C1(n70510_32s_des)) Y,eTrappedCharge(C1(n70510_64s_des)) X,eTrappedCharge(C1(n70510_64s_des)) Y,eTrappedCharge(C1(n70510_128s_des)) X,eTrappedCharge(C1(n70510_128s_des)) Y,eTrappedCharge(C1(n70510_256s_des)) X,eTrappedCharge(C1(n70510_256s_des)) Y,eTrappedCharge(C1(n70510_512s_des)) X,eTrappedCharge(C1(n70510_512s_des)) Y,eTrappedCharge(C1(n70510_1024s_des)) X,eTrappedCharge(C1(n70510_1024s_des)) Y,eTrappedCharge(C1(n70510_2048s_des)) X,eTrappedCharge(C1(n70510_2048s_des)) Y,eTrappedCharge(C1(n70510_4096s_des)) X,eTrappedCharge(C1(n70510_4096s_des)) Y,eTrappedCharge(C1(n70510_8192s_des)) X,eTrappedCharge(C1(n70510_8192s_des)) Y,eTrappedCharge(C1(n70510_16384s_des)) X,eTrappedCharge(C1(n70510_16384s_des)) Y,eTrappedCharge(C1(n70510_32768s_des)) X,eTrappedCharge(C1(n70510_32768s_des)) Y,eTrappedCharge(C1(n70510_65536s_des)) X,eTrappedCharge(C1(n70510_65536s_des)) Y,eTrappedCharge(C1(n70510_131072s_des)) X,eTrappedCharge(C1(n70510_131072s_des)) Y,eTrappedCharge(C1(n70510_262144s_des)) X,eTrappedCharge(C1(n70510_262144s_des)) Y,eTrappedCharge(C1(n70510_524288s_des)) X,eTrappedCharge(C1(n70510_524288s_des)) Y,eTrappedCharge(C1(n70510_1048576s_des)) X,eTrappedCharge(C1(n70510_1048576s_des)) Y,eTrappedCharge(C1(n70510_2097152s_des)) X,eTrappedCharge(C1(n70510_2097152s_des)) Y,eTrappedCharge(C1(n70510_4194304s_des)) X,eTrappedCharge(C1(n70510_4194304s_des)) Y,eTrappedCharge(C1(n70510_8388608s_des)) X,eTrappedCharge(C1(n70510_8388608s_des)) Y,eTrappedCharge(C1(n70510_16777216s_des)) X,eTrappedCharge(C1(n70510_16777216s_des)) Y,eTrappedCharge(C1(n70510_33554432s_des)) X,eTrappedCharge(C1(n70510_33554432s_des)) Y,eTrappedCharge(C1(n70510_67108864s_des)) X,eTrappedCharge(C1(n70510_67108864s_des)) Y,eTrappedCharge(C1(n70510_134217728s_des)) X,eTrappedCharge(C1(n70510_134217728s_des)) Y,eTrappedCharge(C1(n70510_268435456s_des)) X,eTrappedCharge(C1(n70510_268435456s_des)) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0,0.0099999998,0
0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0,0.015,0
0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0,0.0175,0
0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0
0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0
0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0,0.022,0
0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0,0.024,0
0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0,0.026000001,0
0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0,0.027000001,0
